source,target,weight
aerial,ashtanga,1
aerial,baptiste,1
aerial,barre,1
aerial,breathwork / pranayama,2
aerial,dharma,1
aerial,flow,2
aerial,hatha,1
aerial,hot yoga / bikram,2
aerial,iyengar,2
aerial,jivamukti,1
aerial,karma,1
aerial,kundalini,1
aerial,meditation,2
aerial,other,2
aerial,pilates,1
aerial,pre(post)natal,2
aerial,qigong,1
aerial,tai chi,1
aerial,training,2
aerial,vinyasa,2
aerial,yin,2
aerial,yoga,2
aerial,yoga for kids / family,2
ashtanga,baptiste,1
ashtanga,barre,1
ashtanga,breathwork / pranayama,2
ashtanga,dharma,1
ashtanga,flow,2
ashtanga,hatha,1
ashtanga,hot yoga / bikram,1
ashtanga,iyengar,1
ashtanga,karma,1
ashtanga,kundalini,2
ashtanga,meditation,2
ashtanga,nidra,1
ashtanga,other,2
ashtanga,pilates,1
ashtanga,pre(post)natal,1
ashtanga,qigong,1
ashtanga,restore,1
ashtanga,tai chi,1
ashtanga,training,1
ashtanga,vinyasa,2
ashtanga,yin,2
ashtanga,yoga,2
ashtanga,yoga for kids / family,1
baptiste,barre,1
baptiste,breathwork / pranayama,1
baptiste,dharma,1
baptiste,flow,1
baptiste,hot yoga / bikram,1
baptiste,iyengar,1
baptiste,kundalini,1
baptiste,meditation,1
baptiste,other,1
baptiste,pilates,1
baptiste,pre(post)natal,1
baptiste,qigong,1
baptiste,tai chi,1
baptiste,training,1
baptiste,vinyasa,1
baptiste,yin,1
baptiste,yoga,1
baptiste,yoga for kids / family,1
barre,breathwork / pranayama,1
barre,dharma,1
barre,flow,1
barre,hot yoga / bikram,1
barre,iyengar,1
barre,kundalini,1
barre,meditation,1
barre,other,1
barre,pilates,1
barre,pre(post)natal,1
barre,qigong,1
barre,tai chi,1
barre,training,1
barre,vinyasa,1
barre,yin,1
barre,yoga,1
barre,yoga for kids / family,1
breathwork / pranayama,dharma,2
breathwork / pranayama,flow,4
breathwork / pranayama,hatha,3
breathwork / pranayama,hot yoga / bikram,3
breathwork / pranayama,iyengar,3
breathwork / pranayama,jivamukti,2
breathwork / pranayama,karma,3
breathwork / pranayama,kundalini,2
breathwork / pranayama,meditation,4
breathwork / pranayama,nidra,1
breathwork / pranayama,other,4
breathwork / pranayama,pilates,1
breathwork / pranayama,pre(post)natal,3
breathwork / pranayama,qigong,1
breathwork / pranayama,restore,1
breathwork / pranayama,tai chi,1
breathwork / pranayama,training,3
breathwork / pranayama,vinyasa,4
breathwork / pranayama,yin,4
breathwork / pranayama,yoga,4
breathwork / pranayama,yoga for kids / family,3
dharma,flow,2
dharma,hatha,1
dharma,hot yoga / bikram,2
dharma,iyengar,2
