source,target,weight
aerial,Core and Strength,0.2747
aerial,Balance and Alignment,0.1420
aerial,Deep Relaxation/Mind Practice,0.1505
aerial,Stretch and Release,0.0208
aerial,Stress Relief/Breath Techniques,0.4121
ashtanga,Core and Strength,0.2683
ashtanga,Balance and Alignment,0.0343
ashtanga,Deep Relaxation/Mind Practice,0.2151
ashtanga,Stretch and Release,0.0124
ashtanga,Stress Relief/Breath Techniques,0.4698
baptiste,Core and Strength,0.1074
baptiste,Balance and Alignment,0.1956
baptiste,Deep Relaxation/Mind Practice,0.0825
baptiste,Stretch and Release,0.1066
baptiste,Stress Relief/Breath Techniques,0.5079
barre,Core and Strength,0.0842
barre,Balance and Alignment,0.1740
barre,Deep Relaxation/Mind Practice,0.0175
barre,Stretch and Release,0.0177
barre,Stress Relief/Breath Techniques,0.7067
yoga,Core and Strength,0.2238
yoga,Balance and Alignment,0.1256
yoga,Deep Relaxation/Mind Practice,0.2000
yoga,Stretch and Release,0.2449
yoga,Stress Relief/Breath Techniques,0.2057
hot yoga / bikram,Core and Strength,0.1731
hot yoga / bikram,Balance and Alignment,0.1920
hot yoga / bikram,Deep Relaxation/Mind Practice,0.0572
hot yoga / bikram,Stretch and Release,0.1378
hot yoga / bikram,Stress Relief/Breath Techniques,0.4399
breathwork / pranayama,Core and Strength,0.1625
breathwork / pranayama,Balance and Alignment,0.2025
breathwork / pranayama,Deep Relaxation/Mind Practice,0.2179
breathwork / pranayama,Stretch and Release,0.0265
breathwork / pranayama,Stress Relief/Breath Techniques,0.3905
other,Core and Strength,0.1393
other,Balance and Alignment,0.1916
other,Deep Relaxation/Mind Practice,0.4178
other,Stretch and Release,0.0250
other,Stress Relief/Breath Techniques,0.2263
dharma,Core and Strength,0.1277
dharma,Balance and Alignment,0.1441
dharma,Deep Relaxation/Mind Practice,0.1258
dharma,Stretch and Release,0.1264
dharma,Stress Relief/Breath Techniques,0.4760
flow,Core and Strength,0.2372
flow,Balance and Alignment,0.1135
flow,Deep Relaxation/Mind Practice,0.3103
flow,Stretch and Release,0.1664
flow,Stress Relief/Breath Techniques,0.1725
hatha,Core and Strength,0.2480
hatha,Balance and Alignment,0.1958
hatha,Deep Relaxation/Mind Practice,0.2679
hatha,Stretch and Release,0.1998
hatha,Stress Relief/Breath Techniques,0.0885
training,Core and Strength,0.1161
training,Balance and Alignment,0.1084
training,Deep Relaxation/Mind Practice,0.0255
training,Stretch and Release,0.0869
training,Stress Relief/Breath Techniques,0.6631
iyengar,Core and Strength,0.1060
iyengar,Balance and Alignment,0.2042
iyengar,Deep Relaxation/Mind Practice,0.1773
iyengar,Stretch and Release,0.3750
iyengar,Stress Relief/Breath Techniques,0.1374
jivamukti,Core and Strength,0.3965
jivamukti,Balance and Alignment,0.1840
jivamukti,Deep Relaxation/Mind Practice,0.2491
jivamukti,Stretch and Release,0.0191
jivamukti,Stress Relief/Breath Techniques,0.1514
karma,Core and Strength,0.1500
karma,Balance and Alignment,0.2584
karma,Deep Relaxation/Mind Practice,0.3269
karma,Stretch and Release,0.1770
karma,Stress Relief/Breath Techniques,0.0876
yoga for kids / family,Core and Strength,0.1356
yoga for kids / family,Balance and Alignment,0.2433
yoga for kids / family,Deep Relaxation/Mind Practice,0.0597
yoga for kids / family,Stretch and Release,0.1688
yoga for kids / family,Stress Relief/Breath Techniques,0.3926
kundalini,Core and Strength,0.0705
kundalini,Balance and Alignment,0.0811
kundalini,Deep Relaxation/Mind Practice,0.6550
kundalini,Stretch and Release,0.0104
kundalini,Stress Relief/Breath Techniques,0.1829
meditation,Core and Strength,0.1281
meditation,Balance and Alignment,0.3200
meditation,Deep Relaxation/Mind Practice,0.3809
meditation,Stretch and Release,0.0612
meditation,Stress Relief/Breath Techniques,0.1097
nidra,Core and Strength,0.0684
nidra,Balance and Alignment,0.1022
nidra,Deep Relaxation/Mind Practice,0.5481
nidra,Stretch and Release,0.1445
nidra,Stress Relief/Breath Techniques,0.1367
pilates,Core and Strength,0.0235
pilates,Balance and Alignment,0.0545
pilates,Deep Relaxation/Mind Practice,0.0141
pilates,Stretch and Release,0.0627
pilates,Stress Relief/Breath Techniques,0.8452
pre(post)natal,Core and Strength,0.0548
pre(post)natal,Balance and Alignment,0.2961
pre(post)natal,Deep Relaxation/Mind Practice,0.1597
pre(post)natal,Stretch and Release,0.2760
pre(post)natal,Stress Relief/Breath Techniques,0.2134
restore,Core and Strength,0.0207
restore,Balance and Alignment,0.0627
restore,Deep Relaxation/Mind Practice,0.5259
restore,Stretch and Release,0.3626
restore,Stress Relief/Breath Techniques,0.0281
vinyasa,Core and Strength,0.2317
vinyasa,Balance and Alignment,0.1246
vinyasa,Deep Relaxation/Mind Practice,0.2873
vinyasa,Stretch and Release,0.1624
vinyasa,Stress Relief/Breath Techniques,0.1940
yin,Core and Strength,0.0772
yin,Balance and Alignment,0.0878
yin,Deep Relaxation/Mind Practice,0.3998
yin,Stretch and Release,0.2679
yin,Stress Relief/Breath Techniques,0.1673
tai chi,Core and Strength,0.0043
tai chi,Balance and Alignment,0.1893
tai chi,Deep Relaxation/Mind Practice,0.0042
tai chi,Stretch and Release,0.1179
tai chi,Stress Relief/Breath Techniques,0.6843
qigong,Core and Strength,0.0186
qigong,Balance and Alignment,0.0187
qigong,Deep Relaxation/Mind Practice,0.0186
qigong,Stretch and Release,0.0185
qigong,Stress Relief/Breath Techniques,0.9255
