,class_name,class_description,class_style,additional_class_style_info,word_count,unique_word_count,cleaned_text,Balance and Alignment,Stress Relief/Breath Techniques,Deep Relaxation/Mind Practice,Stretch and Release,Core and Strength,dominant_topic,dominant_topic_theme
0,Aerial,These classes use an aerial silk to create poses with less gravitational pull on the body and a more compression-free practice. The playful flight-like experience has the power to boost mood and imagination while challenging your boundary of security.,aerial,,39,36,use silk create less gravitational pull body compression free playful flight like experience power boost mood imagination challenge boundary security,0.029488612,0.18203121,0.02896525,0.029540453,0.7299745,4,Core and Strength
1,Aerial,"Relax your mind and align your body with aerial yoga. A gently guided yoga flow elevated inside of a hammock. Our supportive aerial instructors help you feel comfortable during any class. An unforgettable experience to help you unwind after a long day. The entire class is safely guided for maximum growth mentally and physically. Our style of aerial yoga is designed to help you get out of your comfort zone and motivate you towards your fullest potential of overall wellness. Our aerial classes are taught in a small intimate setting to help each student feel seen. We've designed the space to encourage community support and unity. No charge for hammocks.
 
Anyone can take an aerial class at our studio, no matter your experience level. Our silk hammocks are professionally installed and can hold up to 2000 pounds. 
In our opinion, Aerial Yoga is more mental than physical. We believe we can't grow physically unless we let go mentally. Our aerial classes are taught in a small intimate setting to help each student feel seen. We've designed the space to encourage community support. The purpose behind adding aerial to our studio is meant for us to learn more about our bodies amazing abilities, change our mental perspective and connect deeper to our bodies needs. 
The Benefits of Aerial Yoga

Deepens stretches

Relieves joint pressure and spinal compression that floor workouts can trigger

Releases tension

Increases balance and proprioception (bodily awareness)

Enhances core strength

Improves breath awareness

Easier access to inverted postures

Releases endorphins",aerial,,252,162,relax mind align body gently guide elevate inside hammock supportive instructors help feel comfortable unforgettable experience help unwind long entire safely guide maximum growth mentally physically design help comfort zone motivate towards fullest potential overall wellness small intimate help feel see design space encourage community support unity charge hammocks studio matter experience silk hammocks professionally instal hold 2000 pound opinion mental physical believe grow physically unless let mentally small intimate help feel see design space encourage community support purpose behind add studio mean us body amaze abilities change mental perspective connect deeper body need benefit deepen stretch relieve joint pressure spinal compression floor workouts trigger release tension increase balance proprioception bodily awareness enhance core strength improve breath awareness easier access invert release endorphins,0.12075911,0.0038984003,0.3939295,0.003922154,0.47749084,4,Core and Strength
2,Aerial Yoga,Aerial Yoga (Open Level) - this class is for existing yoga practitioners but no aerial experience is required! We will do our best to make this an amazing experience for beginner to advanced aerial yogis alike! Let's fly!,aerial,,38,32,exist practitioners experience require best make amaze experience advance yogis alike let fly,0.67373943,0.23999427,0.028620517,0.02892836,0.028717393,0,Balance and Alignment
3,Ashtanga Yoga,Ashtanga Yoga involves synchronization between the breaths and movements. One can obtain a strong life force (Prana) and purification of the body through sweating.  Regular practice of Ashtanga will bring a balance of flexibility and strength of the body and internalize the awareness.,ashtanga,,43,31,involve synchronization breaths movements obtain strong life force prana purification body sweat regular bring balance flexibility strength body internalize awareness,0.36519328,0.02049729,0.020523777,0.020268876,0.5735168,4,Core and Strength
4,Ashtanga Yoga,"Ashtanga Yoga is a systematic Vinyasa-style class, incorporating set sequences or “series” where the breath and movement are united. The energetic nature of the sequence leads to a cleansing of the body through heat – enhancing circulation, alleviating joint pain, and building strength. When the postures are executed enough to be performed graciously, breathing becomes more even and ultimately cleanses the nervous system. Ashtanga Yoga allows you to develop a deep awareness of your breath and body. Similar to Bikram Yoga, the rigid sequence is known to help students develop a routine of self-discipline, grit, and consistency. This practice pushes you beyond your limits, constantly reminding you that you’re capable of much more than you realize!
In a led class, you are guided with a precise and traditional counting method, combined with specific breathing cues and points of focus, or “Drishti’s.” The cues help us keep our minds steady and focused throughout the class.
Ashtanga Yoga is usually practiced at room temperature, but we heat the room to 90 degrees. The heat relaxes your muscles, allowing you to go deeper into postures quickly.",ashtanga,,183,122,systematic incorporate sequence breath unite energetic nature sequence lead cleanse body heat enhance circulation alleviate joint pain build strength execute enough perform graciously breathe become ultimately cleanse nervous allow develop deep awareness breath body similar rigid sequence know help develop routine self discipline grit consistency push beyond limit constantly remind capable much realize lead guide precise traditional count method combine specific breathe cue point focus drishti cue help us keep mind steady focus throughout usually temperature heat 90 degrees heat relax muscle allow deeper quickly,0.17147715,0.048173413,0.40972033,0.0044557434,0.36617342,2,Deep Relaxation/Mind Practice
5,Baptiste Yoga,"""In order to make it easier to endure difficulties in life, they should first be experienced on the mat in the hall"", says the American yoga teacher Baron Baptiste, founder of the Baptiste Power Yoga.
This practice is a unique combination of physical training and meditation that helps to deal with stress and improve physical body.
Do you want to try a yoga trend, which gives an opportunity to people who are tense in the everyday life of a megalopolis, to strengthen your body through intense physical training, find flow and relax? Come to Baptiste Power Yoga classes at Studio One Yoga NYC.
What is Baptiste Power Yoga?
Baptiste Power Yoga is a yoga trend developed by Baron Baptiste based on the Baptiste Power Vinyasa style, which appeared more than 80 years ago thanks to his father, Walt Baptiste, a world-famous bodybuilder and Mr. America.
Baptiste Power Yoga is a symbiosis of practices based on the teachings of Walt Baptiste, B.K.S. Iyengar and Bikram Choudhury. It successfully combines elements of Ashtanga vinyasa, Bikram yoga and Iyengar yoga. The Baptiste Power Yoga is a vinyasa yoga, which includes a set of hatha yoga asanas and is held in a room heated to 100 degrees Fahrenheit, it is an intense workout that will literally make you sweat.
In general, the philosophy of Baron Baptiste yoga is a way to ground practitioners in the physical body, and from this state to encourage them to explore their own inner world.
Five Pillars of Baptiste Power Yoga
Breathing - is ujjayi; when the back of the throat is greatly strained and compressed, outwardly it looks like breathing to fog up a mirror when a person inhales and exhales through the nose. This technique allows you to develop the ability to slow down breathing, making it strong and deep, which is necessary during the practice of complex asanas. In addition, practitioners note that such breathing helps to keep calm.
Heat - is an opportunity to kindle an inner fire (tapas); therefore, to create such an atmosphere classes are held in the so–called hot halls;
Flow - is also associated with vinyasa–based breathing. In this series there are exercises that are performed standing up and work with the abdomen, back, and hips.
The direction of gaze - is drishti, this is one of the components of ashtanga yoga, which means looking at a certain place while performing yoga poses. Students are taught to focus their attention on any static point while doing exercises. This technique allows you to learn how to distract attention from everything external, focusing on yourself.
Core Stabilisation – uddiyana bandha, aimed at developing balance and strength. The exercises themselves are a retraction of the navel to the spine.
Features
Classes are suitable for both men and women of any age and all levels of physical condition. Baptiste Yoga NYC has developed special lightweight complexes for beginners and full–fledged workouts for all muscle groups for advanced students. Trainings can take place both in a hot room and at the room temperature.
Baptiste Yoga classes are highly appreciated by professional athletes engaged in athletics and martial arts. In addition, the practice has become very popular among those who want to quickly put the body in order and learn the basics of yoga.
One of the attractive advantages of this practice is the ability to lose weight quickly, and without special exhausting diets. Intensive workout in a heated room provides the necessary calorie consumption. With a consistent practice, you can quickly put your body in order, build up muscles, slimdown and relief. Among other important results of this practice, there is an increase in tone, mood, the ability to feel harmony with the world.
There are almost no limitations to practicing this practice, except for those who suffer from cardiovascular diseases, hypertension, acute colds (flu) with increased body temperature.
Where to practice?
Come to practice at One Yoga NYC Studio. We have a team of educated and experienced teachers. All our teachers have at least 500-hour training, and our leaders have dozens of trainings and thousands of mentoring hours behind their backs.
In January 2022, we opened our first yoga studio in New York.
There is now an opportunity to practice the most popular yoga trends in the heart of Downtown.
You can sign up for Bikram Yoga, Baptiste Power Yoga, Jivamukti yoga, Inferno Hot Pilates classes and other classes that will help you to find harmony with yourself and the world, and achieve a balance of physical and emotional state.",baptiste,,755,388,order make easier endure difficulties life first experience mat hall say american baron baptiste founder baptiste power unique combination physical train help deal stress improve physical body want try trend give opportunity tense everyday life megalopolis strengthen body intense physical train find relax come baptiste power studio baptiste power baptiste power trend develop baron baptiste base baptiste power appear 80 years ago thank father walt baptiste world famous bodybuilder mr america baptiste power symbiosis base walt baptiste b k choudhury successfully combine elements baptiste power include asanas hold heat 100 degrees fahrenheit intense workout literally make sweat general philosophy baron baptiste way grind practitioners physical body state encourage explore inner world five pillars baptiste power breathe ujjayi back throat greatly strain compress outwardly look like breathe fog mirror person inhale exhale nose technique allow develop ability slow breathe make strong deep necessary complex asanas addition practitioners note breathe help keep calm heat opportunity kindle inner fire tapas therefore create atmosphere hold call halls associate base breathe perform stand abdomen back hips direction gaze drishti components mean look certain place perform focus attention static point technique allow distract attention everything external focus core stabilisation uddiyana bandha aim develop balance strength retraction navel spine feature suitable men women age physical condition baptiste develop special lightweight complexes beginners full fledge workouts muscle group advance train place temperature baptiste highly appreciate professional athletes engage athletics martial arts addition become popular among want quickly put body order basics attractive advantage ability lose weight quickly without special exhaust diet intensive workout heat necessary calorie consumption consistent quickly put body order build muscle slimdown relief among important result increase tone mood ability feel harmony world almost limitations except suffer cardiovascular diseases hypertension acute colds flu increase body temperature come studio team educate experience least 500 hour train leaders dozens train thousands mentor hours behind back january 2022 first studio opportunity popular trend heart downtown sign baptiste power pilates help find harmony world achieve balance physical emotional state,0.10740445,0.19555418,0.08249013,0.10662081,0.50793046,4,Core and Strength
6,Barre Fit,"Our 55-minute Barre Fit™ Classes target the muscles like never before, with a mega-focus on your legs, gluts and abs. Think ballet body, as these intelligent exercises create firm, elongated muscles, a stronger and flatter abdomen, a nice butt lift, and toned upper-legs and upper-arms.
This method is one of the fastest, safest and most effective ways to re-shape your body, nipping everything in and lifting everything up. It’s low impact so it protects your joints from bouncing. AND finally, it’s challenging for all levels due to the modifications of the exercises.",barre,,92,76,55 fit target muscle like never mega focus legs glut abs think ballet body intelligent create firm elongate muscle stronger flatter abdomen nice butt lift tone upper legs upper arm method fastest safest effective ways shape body nip everything lift everything low impact protect joint bounce finally challenge due modifications,0.21713017,0.016966987,0.016802803,0.017371533,0.7317285,4,Core and Strength
7,YogaBarre,"A fusion of yoga, Barre and Pilates. A beginner-friendly yet challenging and unique workout designed to sculpt and strengthen your entire body. connecting with the breath, mind, body, and spirit philosophies of yoga.",barre,,33,28,fusion pilates friendly yet challenge unique workout design sculpt strengthen entire body connect breath mind body spirit philosophies,0.017152876,0.123384744,0.017246298,0.017231349,0.8249847,4,Core and Strength
8,FLOOR BARRE.,A ballet-inspired workout that will lengthen and strengthen your muscles and core.  You are guaranteed to discover muscles you didn’t know you owned as you are led through this series of exercises at the Barre as well as the mat.,barre,,40,32,ballet inspire workout lengthen strengthen muscle core guarantee discover muscle know lead well mat,0.018208645,0.38155493,0.018339276,0.01838212,0.563515,4,Core and Strength
9,back to basics (for beginners),"Focus on basic poses, pranayama and meditation techniques that yogis will return to time and time again. This class provides beginners with a foundation for a lifelong yoga practice. Flexibility is is not required! Experienced students will also benefit by refining their alignment and transitions in preparation for more advanced poses.",yoga,,51,44,focus basic techniques yogis return beginners foundation lifelong flexibility require experience benefit refine alignment transition preparation advance,0.62874633,0.13632388,0.20102741,0.016970968,0.016931394,0,Balance and Alignment
